,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32
0,-5.2640837e-05,-2.1004753e-11,3.107032e-05,2.8171755e-06,3.3255653e-06,3.8221515e-10,-6.8528e-05,4.8325566e-11,0.0012514659,-5.42146e-12,6.265921e-11,-8.994584e-06,-0.0018387124,-1.6296324e-12,1.24467315e-05,0.0007569329,5.740075e-12,-2.275807e-11,-3.6653444e-05,1.9146589e-11,2.0011314e-05,1.0798473e-11,-3.403504e-11,1.7818125e-05,0.0001735883,-4.196841e-05,6.1660925e-05,-3.2969183e-12,4.719375e-12,-7.672128e-06,-3.4304823e-05,5.9504324e-05
1,-5.2640837e-05,-2.1030733e-11,3.107032e-05,2.8190655e-06,3.3255658e-06,3.8130565e-10,-6.8528e-05,4.832157e-11,0.0012514659,-5.4144944e-12,6.337597e-11,-8.994584e-06,-0.0018387124,-1.6297661e-12,1.2446742e-05,0.0007569329,5.59075e-12,-2.2763798e-11,-3.6653444e-05,1.9146464e-11,2.0011314e-05,1.09539045e-11,-3.4029526e-11,1.7818134e-05,0.0001735883,-4.196841e-05,6.1660256e-05,-3.1832315e-12,2.5013039e-12,-7.67213e-06,-3.4304823e-05,5.9504324e-05
2,-5.2640837e-05,-2.1171953e-11,3.1070325e-05,2.8195946e-06,3.3255658e-06,3.7539394e-10,-6.8528e-05,4.8294924e-11,0.0012514659,-5.491426e-12,7.9878326e-11,-8.994584e-06,-0.0018387124,-1.6307483e-12,1.2446951e-05,0.0007569329,4.4434456e-12,-2.2612922e-11,-3.6653444e-05,1.9145501e-11,2.0011312e-05,1.2512658e-11,-3.3981023e-11,1.7818207e-05,0.0001735883,-4.196841e-05,6.1655446e-05,-2.046363e-12,3.1701681e-12,-7.672141e-06,-3.4304823e-05,5.950432e-05
3,-5.2640837e-05,-2.105316e-11,3.1070325e-05,2.819639e-06,3.3255658e-06,3.8039616e-10,-6.8528e-05,4.8317572e-11,0.0012514659,-5.423263e-12,6.574119e-11,-8.994584e-06,-0.0018387124,-1.6299219e-12,1.2446769e-05,0.0007569329,5.431211e-12,-2.2745444e-11,-3.6653444e-05,1.9146323e-11,2.0011312e-05,1.1187051e-11,-3.402274e-11,1.7818145e-05,0.0001735883,-4.196841e-05,6.165954e-05,-3.0695446e-12,2.1571425e-12,-7.672132e-06,-3.4304823e-05,5.9504324e-05
4,-5.2640837e-05,-2.1000757e-11,3.107032e-05,2.8168745e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.8326232e-11,0.0012514659,-5.4226723e-12,6.2565064e-11,-8.994584e-06,-0.0018387124,-1.6296126e-12,1.2446731e-05,0.0007569329,5.760059e-12,-2.2756741e-11,-3.6653444e-05,1.9146606e-11,2.0011314e-05,1.0775381e-11,-3.403582e-11,1.7818124e-05,0.0001735883,-4.196841e-05,6.166102e-05,-3.2969183e-12,5.083516e-12,-7.672128e-06,-3.4304823e-05,5.9504324e-05
5,-5.2640837e-05,-2.099676e-11,3.107032e-05,2.816533e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.8326898e-11,0.0012514659,-5.4237574e-12,6.24647e-11,-8.994584e-06,-0.0018387124,-1.6295916e-12,1.2446729e-05,0.0007569329,5.783485e-12,-2.2755794e-11,-3.6653444e-05,1.9146625e-11,2.0011314e-05,1.0753176e-11,-3.4036638e-11,1.7818124e-05,0.0001735883,-4.196841e-05,6.1661114e-05,-3.2969183e-12,5.429786e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
6,-5.2640837e-05,-2.1013413e-11,3.107032e-05,2.8179202e-06,3.3255656e-06,3.817604e-10,-6.8528e-05,4.8324234e-11,0.0012514659,-5.419141e-12,6.2876815e-11,-8.994584e-06,-0.0018387124,-1.6296786e-12,1.2446735e-05,0.0007569329,5.689338e-12,-2.2760068e-11,-3.6653444e-05,1.9146549e-11,2.0011314e-05,1.0846879e-11,-3.4033283e-11,1.7818129e-05,0.0001735883,-4.196841e-05,6.166071e-05,-3.2969183e-12,3.966794e-12,-7.672129e-06,-3.4304823e-05,5.9504324e-05
7,-5.2640837e-05,-2.1034507e-11,3.1070325e-05,2.8191198e-06,3.3255658e-06,3.8107828e-10,-6.8528e-05,4.8321125e-11,0.0012514659,-5.4151835e-12,6.370815e-11,-8.994584e-06,-0.0018387124,-1.6297885e-12,1.2446746e-05,0.0007569329,5.5725424e-12,-2.2762132e-11,-3.6653444e-05,1.9146441e-11,2.0011314e-05,1.0997869e-11,-3.402855e-11,1.7818136e-05,0.0001735883,-4.196841e-05,6.1660154e-05,-3.1832315e-12,2.3254107e-12,-7.672131e-06,-3.4304823e-05,5.9504324e-05
8,-5.2640837e-05,-2.1004531e-11,3.107032e-05,2.8171767e-06,3.3255653e-06,3.8221515e-10,-6.8528e-05,4.8325566e-11,0.0012514659,-5.4216224e-12,6.265477e-11,-8.994584e-06,-0.0018387124,-1.6296318e-12,1.24467315e-05,0.0007569329,5.739409e-12,-2.2757837e-11,-3.6653444e-05,1.9146589e-11,2.0011314e-05,1.0796697e-11,-3.403507e-11,1.7818125e-05,0.0001735883,-4.196841e-05,6.166093e-05,-3.2969183e-12,4.7555805e-12,-7.672128e-06,-3.4304823e-05,5.9504324e-05
9,-5.2640837e-05,-2.1002977e-11,3.107032e-05,2.8170175e-06,3.3255653e-06,3.8221515e-10,-6.8528e-05,4.8325788e-11,0.0012514659,-5.4219866e-12,6.2613026e-11,-8.994584e-06,-0.0018387124,-1.6296227e-12,1.24467315e-05,0.0007569329,5.750511e-12,-2.2757626e-11,-3.6653444e-05,1.9146598e-11,2.0011314e-05,1.0788259e-11,-3.4035413e-11,1.7818125e-05,0.0001735883,-4.196841e-05,6.1660976e-05,-3.2969183e-12,4.8872807e-12,-7.672128e-06,-3.4304823e-05,5.9504324e-05
